mrna,lncrna
2262,1225
2262,219
2262,123
2262,518
2262,1073
2262,427
2262,1387
2262,1338
2262,282
2262,589
2262,1252
2262,1325
2262,1166
2262,615
2262,1022
2262,765
2262,996
2262,1383
2262,1263
2262,884
2262,347
2262,964
2262,189
2262,461
2262,484
2262,797
2262,1230
2262,854
2262,709
2262,527
2262,65
2262,1462
2262,144
2262,932
2262,640
2262,1364
2262,1295
2262,1149
2262,1411
2262,173
2262,203
2262,950
2262,1249
2262,687
2262,1167
2262,923
2262,760
2262,292
2262,215
2262,949
557,454
1283,1470
1283,820
1283,786
1283,788
1283,1259
1283,959
1283,1427
1283,606
1283,146
1283,1015
1283,882
1283,53
1283,921
1283,54
1283,121
1283,561
1283,1495
1283,1109
1283,145
1283,773
1283,603
1283,1215
1283,188
1283,1140
1283,476
1283,1101
1283,916
1283,1393
1283,66
1283,322
1283,445
1283,1048
1283,52
1283,1300
1283,497
1283,681
1283,1375
1283,1184
1283,347
1283,189
1283,256
1283,923
2006,1003
2006,362
2006,39
2006,1059
2006,1242
2006,254
2006,1206
2006,937
215,1470
215,820
215,786
215,788
215,1259
215,959
215,1427
215,606
215,146
215,288
215,1015
215,882
215,532
215,53
215,787
215,921
215,54
215,121
215,1050
215,614
215,561
215,1495
215,1109
215,145
215,773
215,425
215,603
215,850
215,494
215,59
215,1215
215,188
215,917
215,796
215,1140
215,185
215,522
215,476
215,1142
215,1101
215,916
215,755
215,740
215,444
215,1393
215,66
215,1128
215,138
215,322
215,445
215,789
215,1048
215,1475
215,52
215,30
215,1300
215,497
215,681
215,967
215,287
215,1375
215,55
215,1037
215,1363
215,1245
215,915
215,31
215,785
215,149
215,568
215,1217
215,1184
215,1225
215,219
215,518
215,1073
215,1387
215,1338
215,282
215,238
215,781
215,589
215,1325
215,1166
215,615
215,4
215,1022
215,996
215,1383
215,1263
215,884
215,347
215,964
215,189
215,461
215,484
215,319
215,1230
215,854
215,1462
215,144
215,640
215,483
215,1450
215,1364
215,635
215,1295
215,1105
215,1411
215,203
215,950
215,1249
215,687
215,359
215,1167
215,256
215,1246
215,923
215,760
215,1144
215,292
215,215
215,224
546,1003
546,362
546,39
546,1059
546,1470
546,1242
546,254
546,820
546,83
546,786
546,220
546,788
546,1259
546,1206
546,959
546,1427
546,1321
546,606
546,146
546,288
546,1015
546,882
546,937
546,532
546,53
546,787
546,921
546,54
546,121
546,1050
546,614
546,561
546,1495
546,581
546,1109
546,773
546,425
546,603
546,850
546,59
546,917
546,1140
546,185
546,476
546,1142
546,1101
546,916
546,755
546,740
546,444
546,1393
546,66
546,194
546,1128
546,322
546,559
546,445
546,1048
546,710
546,52
546,1300
546,497
546,681
546,967
546,287
546,55
546,1444
546,242
546,1245
546,915
546,785
546,149
546,1184
546,1225
546,219
546,282
546,589
546,1252
546,765
546,484
546,65
752,922
759,1470
759,820
759,786
759,788
759,606
759,288
759,1015
759,882
759,53
759,787
759,921
759,54
759,121
759,1050
759,614
759,561
759,1495
759,1109
759,773
759,603
759,59
759,1215
759,796
759,1140
759,185
759,522
759,476
759,1142
759,1101
759,916
759,755
759,740
759,444
759,1393
759,66
759,1128
759,322
759,445
759,789
759,1048
759,1475
759,52
759,30
759,497
759,1375
759,55
759,834
759,1037
759,1363
759,1245
759,915
759,31
759,568
759,1184
759,518
759,1073
759,1387
759,5
759,1338
759,282
759,781
759,589
759,1325
759,1166
759,4
759,1383
759,1263
759,461
759,484
759,319
759,1230
759,1364
759,1295
759,1411
759,203
759,987
759,359
759,1167
759,1246
759,923
759,292
759,215
759,1362
814,1470
814,820
814,786
814,788
814,1259
814,1427
814,606
814,146
814,288
814,1015
814,882
814,53
814,787
814,921
814,54
814,121
814,1050
814,614
814,561
814,1495
814,1109
814,145
814,773
814,425
814,603
814,850
814,494
814,59
814,1215
814,188
814,917
814,796
814,1140
814,185
814,522
814,476
814,1142
814,1101
814,916
814,755
814,740
814,1393
814,66
814,1128
814,138
814,322
814,445
814,789
814,1048
814,1475
814,52
814,30
814,1300
814,497
814,681
814,287
814,1375
814,55
814,1037
814,1363
814,915
814,149
814,1184
814,1225
814,219
814,518
814,1073
814,1338
814,282
814,238
814,589
814,1325
814,1166
814,615
814,996
814,1383
814,1263
814,884
814,347
814,964
814,189
814,484
814,319
814,1230
814,854
814,1462
814,144
814,640
814,483
814,1364
814,635
814,1295
814,1105
814,321
814,1411
814,203
814,950
814,687
814,769
814,359
814,1167
814,256
814,923
814,760
814,1144
814,292
814,215
814,224
2267,1003
2267,362
2267,39
2267,1059
2267,1242
2267,254
1654,1003
1654,362
1654,39
1654,1059
1654,1470
1654,1242
1654,820
1654,83
1654,786
1654,220
1654,788
1654,1259
1654,1206
1654,959
1654,1427
1654,606
1654,146
1654,288
1654,1015
1654,882
1654,937
1654,532
1654,53
1654,787
1654,921
1654,54
1654,121
1654,1050
1654,614
1654,561
1654,1495
1654,581
1654,1109
1654,773
1654,603
1654,850
1654,494
1654,59
1654,1215
1654,917
1654,796
1654,1140
1654,185
1654,522
1654,476
1654,1142
1654,1101
1654,916
1654,755
1654,740
1654,444
1654,1393
1654,66
1654,194
1654,1128
1654,138
1654,322
1654,445
1654,789
1654,1048
1654,1475
1654,710
1654,52
1654,30
1654,1300
1654,497
1654,681
1654,967
1654,287
1654,1375
1654,55
1654,1444
1654,1037
1654,242
1654,1245
1654,915
1654,31
1654,785
1654,149
1654,568
1654,1184
1654,1225
1654,219
1654,518
1654,1073
1654,1387
1654,1488
1654,1338
1654,282
1654,589
1654,1166
1654,615
1654,1022
1654,765
1654,1383
1654,1263
1654,347
1654,964
1654,461
1654,484
1654,709
1654,527
1654,65
1654,932
1654,1297
1654,1364
1654,1149
1654,1411
799,1470
799,820
799,786
799,788
799,1427
799,606
799,1015
799,882
799,53
799,787
799,921
799,54
799,121
799,1050
799,614
799,561
799,1495
799,1109
799,773
799,603
799,59
799,1215
799,917
799,796
799,1140
799,185
799,522
799,476
799,1142
799,1101
799,916
799,755
799,740
799,1393
799,66
799,1128
799,138
799,322
799,445
799,789
799,1048
